minutes_watched,CLV,region,channel,1,2,3,4,5,6,7,8,PCA_PC1,PCA_PC2,GMM_Segment
2964.0,313.2,2,7,0,0,0,0,0,0,1,0,1.0469305996263651,0.9822371705459262,0
2931.0,184.44,2,1,1,0,0,0,0,0,0,0,1.1655681954310393,-0.24681162031361026,0
1707.0,149.99,0,7,0,0,0,0,0,0,1,0,-1.8285385501824383,-0.6440016836898743,3
13349.0,64.8,2,3,0,0,1,0,0,0,0,0,1.4775442295741579,1.3002315021625632,0
2389.0,331.99,2,2,0,1,0,0,0,0,0,0,0.9283867437141808,0.8753813054092803,0
1242.0,331.99,0,3,0,0,1,0,0,0,0,0,-2.8879922904799953,1.6301562759355468,1
997.0,149.72,0,3,0,0,1,0,0,0,0,0,-2.268483318536949,0.6864044598685258,1
2058.0,230.97,1,1,1,0,0,0,0,0,0,0,-0.9759820500760041,1.4412232731517023,2
171.0,149.99,0,1,1,0,0,0,0,0,0,0,-2.151526503749801,-1.2463027657279886,3
927.0,212.91,1,1,1,0,0,0,0,0,0,0,-0.9172328684735866,1.3213389500092396,2
229.0,184.44,0,3,0,0,1,0,0,0,0,0,-2.3884304899597693,0.8467625749564783,1
2575.0,149.99,2,3,0,0,1,0,0,0,0,0,1.1620802625273894,1.4818466577031488,0
26240.0,64.8,0,8,0,0,0,0,0,0,0,1,-2.0523865949803786,-0.887045867092769,3
13035.0,365.71,1,4,0,0,0,1,0,0,0,0,-1.1245434268356507,2.264350589340696,2
1162.0,119.0,0,3,0,0,1,0,0,0,0,0,-2.1635795528393214,0.5322594810495945,1
33.0,149.99,0,1,1,0,0,0,0,0,0,0,-2.151854956575462,-1.2495913786230037,3
401.0,323.82,1,3,0,0,1,0,0,0,0,0,-1.4156477570437376,3.7939302518434643,2
8273.0,207.37,1,3,0,0,1,0,0,0,0,0,-1.0007426610378558,3.382303189872196,2
3021.0,172.15,2,7,0,0,0,0,0,0,1,0,1.5269257588576606,0.25778942004872013,0
291.0,325.04,2,1,1,0,0,0,0,0,0,0,0.6809561797261235,0.41376629449036445,2
3500.0,62.58,2,2,0,1,0,0,0,0,0,0,1.8475779696193817,-0.4844557666034055,0
7692.0,271.71,0,3,0,0,1,0,0,0,0,0,-2.667564971102517,1.4736782050218113,2
7638.0,184.64,2,3,0,0,1,0,0,0,0,0,1.0562495567046637,1.7808003813357993,0
14810.0,285.36,2,1,1,0,0,0,0,0,0,0,0.8505061891674692,0.5555789214831092,0
1187.0,360.88,1,7,0,0,0,0,0,0,1,0,-1.1006836101818083,2.6546468631227738,2
55284.0,64.8,0,1,1,0,0,0,0,0,0,0,-1.7305315958553182,-0.3712961303115313,3
5849.0,342.2,2,3,0,0,1,0,0,0,0,0,0.5159641910369732,2.5489297615624587,2
3632.0,270.69,0,6,0,0,0,0,0,1,0,0,-2.452795979020601,0.30927914776354604,3
24213.0,199.49,2,4,0,0,0,1,0,0,0,0,1.4487253306421854,0.20599612379620386,0
357.0,149.99,2,1,1,0,0,0,0,0,0,0,1.2766425420962297,-0.48542201195543944,0
5605.0,304.63,1,3,0,0,1,0,0,0,0,0,-1.337976367433784,3.8191976431020085,2
9074.0,119.0,0,2,0,1,0,0,0,0,0,0,-1.758825538468206,-0.8177502415590068,3
3997.0,343.82,1,3,0,0,1,0,0,0,0,0,-1.475129991246184,3.9825395552823712,2
1443.0,313.77,2,7,0,0,0,0,0,0,1,0,1.0413713083855003,0.9489240067484539,0
1409.0,19.0,2,8,0,0,0,0,0,0,0,1,1.4720536666624748,-0.9580081557475314,0
48.0,119.0,2,4,0,0,0,1,0,0,0,0,1.6650415840961326,-0.7840488972622669,0
1268.0,313.26,2,1,1,0,0,0,0,0,0,0,0.7233577080434315,0.3764319481636809,2
46.0,63.63,2,4,0,0,0,1,0,0,0,0,1.853408466442059,-1.0690159715541305,0
8231.0,174.14,0,1,1,0,0,0,0,0,0,0,-2.2145025206157234,-0.9299591790756986,3
20799.0,174.0,0,1,1,0,0,0,0,0,0,0,-2.1841132252122812,-0.6311775034146815,3
957.0,269.98,0,7,0,0,0,0,0,0,1,0,-2.23853588984181,-0.044437693564099226,3
348.0,174.0,0,3,0,0,1,0,0,0,0,0,-2.352629831628296,0.7958769219171246,1
2522.0,313.42,0,3,0,0,1,0,0,0,0,0,-2.8217696580657323,1.5651030308824097,1
14187.0,267.48,0,3,0,0,1,0,0,0,0,0,-2.6377155857206116,1.6066910217276567,2
3750.0,331.79,0,3,0,0,1,0,0,0,0,0,-2.8813426069034156,1.688894093483785,2
1407.0,146.93,0,1,1,0,0,0,0,0,0,0,-2.138174428469277,-1.2325941856054374,3
1915.0,62.58,2,1,1,0,0,0,0,0,0,0,1.5777241289857558,-0.8980828499729321,0
72.0,259.02,2,7,0,0,0,0,0,0,1,0,1.2243705709963442,0.6345232957591365,0
1354.0,119.0,2,8,0,0,0,0,0,0,0,1,1.1317175194850488,-0.44474521508630355,0
263.0,182.51,1,6,0,0,0,0,0,1,0,0,-0.714270106358777,2.0010991951864616,2
585.0,149.99,2,3,0,0,1,0,0,0,0,0,1.1573438775776397,1.434423906535903,0
1569.0,302.48,0,3,0,0,1,0,0,0,0,0,-2.786819433155152,1.4860981834875588,1
2031.0,174.0,0,1,1,0,0,0,0,0,0,0,-2.228782809502182,-1.078428857136727,3
3468.0,443.98,0,3,0,0,1,0,0,0,0,0,-3.2636900541859397,2.2594740284810815,2
247.0,119.0,0,3,0,0,1,0,0,0,0,0,-2.1657573378790302,0.5104545477239514,1
1231.0,184.44,0,3,0,0,1,0,0,0,0,0,-2.3860456368343175,0.8706407642376744,1
54.0,49.5,0,1,1,0,0,0,0,0,0,0,-1.8099327268718592,-1.7661859679804695,3
289.0,121.0,2,1,1,0,0,0,0,0,0,0,1.3751061954511998,-0.6362173802296918,0
444.0,77.3,2,4,0,0,0,1,0,0,0,0,1.807849686841621,-0.989189207505834,0
423.0,36.0,0,8,0,0,0,0,0,0,0,1,-2.0158543446863915,-1.6504758167485676,3
629.0,150.24,2,3,0,0,1,0,0,0,0,0,1.1565980885618163,1.4367588838270757,0
507.0,62.58,2,1,1,0,0,0,0,0,0,0,1.5743729581268373,-0.9316362337133755,0
2483.0,184.44,2,3,0,0,1,0,0,0,0,0,1.044660588085298,1.6569248610978033,0
8867.0,245.98,2,1,1,0,0,0,0,0,0,0,0.9703341211530807,0.21131500080022847,0
32131.0,292.6,1,3,0,0,1,0,0,0,0,0,-1.2339153314981686,4.389423028340095,2
2623.0,149.99,2,3,0,0,1,0,0,0,0,0,1.1621945069884887,1.4829905230579365,0
909.0,149.99,2,3,0,0,1,0,0,0,0,0,1.1581150276900611,1.4421449976807208,0
21279.0,269.98,2,7,0,0,0,0,0,0,1,0,1.2375587074354564,1.1962945765419488,0
356.0,149.99,2,6,0,0,0,0,0,1,0,0,1.3777609122419883,0.36656825382772057,0
8022.0,48.6,0,3,0,0,1,0,0,0,0,0,-1.907747624859565,0.3334770763929903,2
1502.0,269.98,2,2,0,1,0,0,0,0,0,0,1.1372368718817512,0.5351565252895337,0
94.0,149.99,2,3,0,0,1,0,0,0,0,0,1.1561752519443094,1.4227231171775523,0
32947.0,217.18,2,6,0,0,0,0,0,1,0,0,1.2267466190916254,1.4889710142859998,0
9723.0,157.2,2,6,0,0,0,0,0,1,0,0,1.3755264448540254,0.6268895696902721,0
20292.0,245.98,2,8,0,0,0,0,0,0,0,1,0.7447991031995881,0.6599629107462639,2
3704.0,61.2,2,1,1,0,0,0,0,0,0,0,1.5866769475951588,-0.8625511509309078,0
9930.0,62.58,2,4,0,0,0,1,0,0,0,0,1.8805054600984858,-0.838878053587727,0
